TODATE,kVA,kVAR,kW
07:19,0.1029470116,-0.03208255395,0.06600850821
07:21,0.1030767411,-0.03234704956,0.06590023637
07:23,0.1031740233,-0.03230535612,0.06578476727
07:25,0.1148299351,-0.03237019852,0.06590460986
07:27,0.1148581728,-0.03230540454,0.06578486413
07:29,0.1029146463,-0.03213649616,0.06589537114
07:31,0.1030901223,-0.03220333904,0.06601396203
07:33,0.1028378382,-0.03220328689,0.06601385772
07:35,0.1030458435,-0.03214321658,0.06567723304
07:37,0.1029272899,-0.03235957026,0.06567102671
07:39,0.1030659154,-0.03242387623,0.06601390243
07:41,0.1029148996,-0.03240569681,0.06579195708
07:43,0.1030058637,-0.03214982152,0.06590425968
07:45,0.1029445529,-0.03243065625,0.06585464627
07:47,0.102997385,-0.03214967996,0.06590396166
07:49,0.1028727144,-0.03237000853,0.0656830743
07:51,0.1030281633,-0.0323703438,0.06590490043
07:53,0.1027313918,-0.03215008602,0.06568364054
07:55,0.1027571335,-0.03185984865,0.06578494608
07:57,0.1027812138,-0.03198288754,0.06579267979
07:59,0.1028662995,-0.03198273852,0.06579237431
08:01,0.1027714685,-0.03214349225,0.06590043008
08:03,0.4000486732,0.2224007547,0.1520616561
08:05,0.3993365765,0.2214553505,0.1520592868
08:07,0.1031088009,-0.03192147985,0.06612238288
08:09,0.102857247,-0.03195713833,0.06589372456
08:11,0.1059653312,-0.03200038895,0.06601369381
08:13,0.1080360338,-0.03198277578,0.06589987129
08:15,0.1028594226,-0.03198281676,0.06579253078
08:17,0.1028808579,-0.03199040145,0.06579752266
08:19,0.1028193384,-0.0319214426,0.06589967012
08:21,0.1029367298,-0.03214321658,0.06589986384
08:23,0.1135530993,-0.03208244592,0.06578452885
08:25,0.1139479354,-0.03210049123,0.06600842625
08:27,0.1031460166,-0.03210045397,0.06600832939
08:29,0.1136302128,-0.03192966059,0.06612550467
08:31,0.1135873944,-0.03214977309,0.06590415537
08:33,0.1029375196,-0.03212533519,0.06589991599
08:35,0.1137162074,-0.03208270296,0.06578505784
08:37,0.1028128788,-0.03210057318,0.06578483433
08:39,0.1028325781,-0.03220347315,0.06579270959
08:41,0.1135067344,-0.03220348805,0.0660142675
08:43,0.1139039844,-0.03221315518,0.06589395553
